shared_columns
AAGE
ACTHR
ACTHR2
ACTPOT
ACTUOT
ACTWKDY1
ACTWKDY2
ACTWKDY3
ACTWKDY4
ACTWKDY5
ACTWKDY6
ACTWKDY7
ADDJOB
AGE
ANXIOUS
APPR12
APPRCURR
APPST12
ATTEND
BACTHR
BANDG
BANDG2
BANDN
BANDN2
BEFOR
BENFTS
BONCMP1
BONCMP2
BONCMP3
BONCMP4
BUSHR
CAMEMT
CAMEYR
CAMEYR2
CIGEVER
CIGNOW
CIGSMK16
CLAIMS14
CONMON
CONMPY
CONSEY
CONTUK
COUNTRY
COURSE
CRY12
CRYOX7_EUL_MAIN
CRYOX7_EUL_SUB
CTRY9D
CURED8
CYMR
CYMS
CYMU
CYMW
DIFFHR20
DIFJOB
DISBEN1
DISBEN2
DISBEN3
DISBEN4
DISBEN5
DISBEN6
DISBEN7
DISBEN8
DISCURR20
DISEA
DURUN
DURUN2
DVHRPNUM
ED13WK
ED4WK
EDAGEBAND
EMPLEN
EMPMON
ENROLL
ERNCM01
ERNCM02
ERNCM03
ERNCM04
ERNCM05
ERNCM06
ERNCM07
ERNCM08
ERNCM09
ERNCM10
ERNCM11
ERNFILT
ETH11EW
ETH11S
ETHAFS
ETHAS11
ETHAS11S
ETHBL11
ETHCBS
ETHEWEUL
ETHGBEUL
ETHMX11
ETHUKEUL
ETHWHE
ETHWHW
ETHWSC
EVEROT
EVERWK
FAMUNIT
FDSNGDEG
FILEYEAR
FTPT
FTPTW
FTPTWK
FUND12
FURN
FUTUR13
FUTUR4
GB
GOVTOF
GROSS99
GRSEXP
GRSPRD
GRSSWK
GRSSWK2
HALLRES
HAPPY
HEALPB2001
HEALPB2002
HEALPB2003
HEALPB2004
HEALPB2005
HEALPB2006
HEALPB2007
HEALPB2008
HEALPB2009
HEALPB2010
HEALYL
HEALYR
HIQUAL15
HIQUL15D
HITQUA15
HOME
HOURLY
HOURLY2
HOURPAY
HOWGET
HPRMB
HRPID
HRRATE
HRRATE2
HSNGGB1
HSNGGB2
IDREF
ILLDAYS1
ILLDAYS2
ILLDAYS3
ILLDAYS4
ILLDAYS5
ILLDAYS6
ILLDAYS7
ILLFRI
ILLMON
ILLOFF
ILLSAT
ILLST17
ILLSUN
ILLTHU
ILLTUE
ILLWED
ILLWK
ILODEFR
IN0792EM
IN0792ER
IN0792SL
IN0792SM
IN0792SS
INCNOW
INCSUP
INDE07M
INDE07R
INDS07L
INDS07M
INDS07S
INECAC05
INTETM
IOUTCOME
JB2T101
JB2T102
JB2T103
JB2T104
JB2T105
JBAWAY
JBTP101
JBTP102
JBTP103
JBTP104
JBTP105
JOBBEG
JOBED
JOBTRN
JOBTYP
JOBTYP2
JSADUR
JSATYP
LEFTM
LEFTW
LEFTYR
LESPAY
LESPAY2
LESPAY3
LFSSAMP
LIKEWK
LIMACT
LIMITA
LIMITK
LIV12W
LIVTOG
LKFTPA
LKFTPC
LKSELA
LKSELC
LKTIMA
LKTIMB
LKWFWM
LKYT4
LLORD
LNGLST
LOOK4
LOOKM111
LOOKM112
LOOKM113
MAINMA
MAINME
MAINMS
MAINRET
MANAG2
MANAGER
MANAGLR
MARCHK
MARDY6
MARSEX6
MARSTA
METHAL01
METHAL02
METHAL03
METHAL04
METHAL05
METHAL06
METHAL07
METHAL08
METHAL09
METHAL10
METHAL11
METHAL12
METHAL13
METHAL14
METHM
METHMP01
METHMP02
METHMP03
METHMP04
METHMP05
METHMP06
METHMP07
METHMP08
METHMP09
METHMP10
METHMP11
METHSE1
METHSE2
METHSE3
METHSE4
METHSE5
METHSE6
MF1664
MF5964
MPNLR02
MPNR02
MPNSR02
NATIDB11
NATIDE11
NATIDNI
NATIDO11
NATIDS11
NATIDW11
NATOX7_EUL_MAIN
NATOX7_EUL_SUB
NET99
NETPRD
NETWK
NETWK2
NPWT22C
NSECM20
NSECMJ20
NTNLTY12
ONETEN
OOBEN
OVHRS
OVRTME
OWNBUS
PAIDHRA
PAIDHRU
PARK
PAYSSP
PDWG10
PDWG102
PENBN131
PENBN132
PENBN133
POTHR
PREFHR
PRXREL
PUBLICR
PWTA22C
QRTR
QULNOW
RDMPNO2
REDACT
REDANY
REDCLOS
REDIND
REDOCC
REDP1
REDP2
REDP3
REDPAID
REDSTAT
REDUND
REDYL13
REFDTE
REFWKD
REFWKM
REFWKY
RELBUS
RELIG11
RELIGE
RELIGS
RELIGW
RESBBY
RESMTH
RESTME
RESTMR6
SATIS
SC20LMJ
SC20LMN
SC20MMJ
SC20MMN
SC20SMJ
SC20SMN
SCHM12
SCNTGA
