PERSON_ID,SOURCE_PERIOD,YEAR,WEIGHT,AGE,SEX,LABOUR_STATUS,OUTCOME_STATUS,FULLTIME_PARTTIME,GROSS_WEEKLY_PAY,HOURLY_RATE,HOURPAY,HIGHEST_QUAL,HEALTH_LIMITATION,ETHNICITY,COUNTRY_NAME,COUNTRY_CODE,REGION_CODE,COMBINED_AUTHORITY,ITL2_CODE,ITL3_CODE
47.0,2019-2021,2021,459,56,1,1,1,1.0,,,,58.0,1.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
48.0,2019-2021,2021,450,51,1,2,1,,,,,84.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
49.0,2019-2021,2021,0,83,2,3,7,,,,,,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
50.0,2019-2021,2021,0,48,2,3,2,,,,,58.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
51.0,2019-2021,2021,214,72,2,3,7,,,,,,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
52.0,2019-2021,2021,0,83,1,3,7,,,,,,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
53.0,2019-2021,2021,288,59,2,3,1,,,,,24.0,1.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
54.0,2019-2021,2021,0,59,1,1,2,1.0,,,,45.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
55.0,2019-2021,2021,0,18,2,3,2,,,,,37.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
56.0,2019-2021,2021,444,40,1,1,1,1.0,577.0,80.0,14.07,18.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
57.0,2019-2021,2021,330,45,2,1,1,1.0,,,,1.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
58.0,2019-2021,2021,0,8,2,4,4,,,,,,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
59.0,2019-2021,2021,0,6,2,4,4,,,,,,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
60.0,2019-2021,2021,419,34,2,1,1,1.0,669.0,12.35,16.32,8.0,1.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
61.0,2019-2021,2021,348,49,2,1,1,1.0,448.0,,11.79,58.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
